check_id	result	detail	artifact
BL076-R2-BL076-SG-H-SpatialHeadphoneCompensation.h	PASS	SpatialHeadphoneCompensation.h lines=101 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialHeadphonePose.h	PASS	SpatialHeadphonePose.h lines=202 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	PASS	SpatialHeadphonePoseAndCompensation.h lines=4 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialPostFxChain.h	PASS	SpatialPostFxChain.h lines=59 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialProfileRouter.h	PASS	SpatialProfileRouter.h lines=220 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialRendererTypes.h	PASS	SpatialRendererTypes.h lines=194 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialSteamAudioBackend.h	PASS	SpatialSteamAudioBackend.h lines=167 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-DM-001	PASS	SpatialRendererTypes.h does not include SceneGraph.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-DM-002	PASS	SpatialRendererTypes.h does not include phonon.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-DM-003	PASS	SpatialRendererTypes.h avoids headphone_dsp includes	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
